mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.014649629592895508,0.016387387393265177,0.24650009473164877,0.02752509112403698,minkowski,3,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6895317442833082,0.6577093401856822,0.6669212299965055,0.6713874381551653,0.013369782150444367,67,0.8320131417786859,0.8533122498405556,0.8420035985951326,0.8424429967381247,0.008700873676585582
0.006572882334391276,0.00518624141888568,0.23152621587117514,0.020213255695061577,minkowski,3,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'distance'}",0.7229220841831641,0.6803571889220957,0.686473670690703,0.6965843145986542,0.018790270839301803,34,1.0,1.0,1.0,1.0,0.0
0.0041764577229817705,0.0017362507485035844,0.0869137446085612,0.003970633210923371,minkowski,3,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7293095538448404,0.7194277497184368,0.7241853474656339,0.7243075503429703,0.004035154962375365,16,0.8551446343569403,0.853418111576321,0.8578464414046907,0.8554697291126506,0.0018224143724466194
0.009096066157023111,0.005158632250588911,0.06527503331502278,0.030361239034907613,minkowski,3,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'distance'}",0.7459473296962524,0.7325321375021653,0.7416965970754251,0.7400586880912811,0.005597851062763841,1,1.0,1.0,1.0,1.0,0.0
0.002814769744873047,0.000574081673304928,0.22258734703063965,0.015069423932178042,minkowski,5,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6865658362065294,0.6696293431116995,0.6713049063720733,0.6758333618967675,0.007619771723052905,61,0.7728505641699435,0.7830327442068884,0.7938628281560789,0.7832487121776369,0.008579580062724627
0.0036786397298177085,0.0013203916574690512,0.1565693219502767,0.004906073246112838,minkowski,5,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'distance'}",0.7141581858025259,0.6864274663216957,0.6925592004693785,0.6977149508645334,0.011893542290783356,31,1.0,1.0,1.0,1.0,0.0
0.0034087498982747397,0.0011033578463668816,0.03412524859110514,0.0020598692034289982,minkowski,5,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7241440777330191,0.7100806494215894,0.6991439837115312,0.7111229036220466,0.01023281960603845,25,0.8047147860199678,0.8030175502936641,0.8084064057500526,0.8053795806878948,0.0022496525280348433
0.0043248335520426435,0.001422488194572261,0.03400540351867676,0.0033201723624414164,minkowski,5,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'distance'}",0.7381280216482875,0.7403442376766993,0.7293179280939379,0.735930062472975,0.004762222461273,4,1.0,1.0,1.0,1.0,0.0
0.003543217976888021,0.0009214764544023454,0.13668235143025717,0.019842221148550075,minkowski,7,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6801809170428605,0.6662209367682703,0.6433976784004909,0.6632665107372072,0.01516131340254193,70,0.7559108655531575,0.7620962378520579,0.7663489122600196,0.761452005221745,0.004285594593140191
0.0028923352559407554,0.0010406009399756856,0.13808345794677734,0.02639464617987747,minkowski,7,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'distance'}",0.7131713107110685,0.6860521890473017,0.6797450518982477,0.6929895172188726,0.014501116880559559,43,1.0,1.0,1.0,1.0,0.0
0.007275740305582683,0.004240705213493704,0.03307215372721354,0.006422687018768876,minkowski,7,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 2, 'knn__weights': 'uniform'}",0.6990998761863997,0.7000335236981214,0.7021351504523193,0.7004228501122801,0.0012693577798529412,28,0.76329666500609,0.7946451744171673,0.7801965244257179,0.779379454616325,0.01281100992321754
0.005101680755615234,0.0014099071310237211,0.028605858484903973,0.001325833254095901,minkowski,7,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 2, 'knn__weights': 'distance'}",0.7352519532671515,0.7314115803090525,0.7341310414391755,0.7335981916717932,0.0016124645257646474,7,1.0,1.0,1.0,1.0,0.0
0.003833293914794922,0.0005014986565030006,0.11875104904174805,0.005820195608863239,minkowski,9,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 9, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6597257270630759,0.6528297249352844,0.646976575624394,0.6531773425409181,0.0052106201871063695,76,0.728925462815073,0.7290889101576153,0.7317608422493039,0.7299250717406641,0.0012997996714211762
0.0035212039947509766,0.000868503351239962,0.10848093032836914,0.01572437752136755,minkowski,9,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 9, 'knn__p': 1, 'knn__weights': 'distance'}",0.6987118814655504,0.68057977293917,0.6790717304185684,0.6861211282744296,0.008924268317375736,52,1.0,1.0,1.0,1.0,0.0
0.003156900405883789,0.001047142234482257,0.03258840243021647,0.0017575834333299438,minkowski,9,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 9, 'knn__p': 2, 'knn__weights': 'uniform'}",0.683872736053222,0.7104733958587689,0.6861568334640745,0.6935009884586885,0.012037475786373562,40,0.7496938442868292,0.7671060234545027,0.7535286687414215,0.7567761788275845,0.00747019576546643
0.003972530364990234,0.001378659771498604,0.0316933790842692,0.004268785698679987,minkowski,9,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 9, 'knn__p': 2, 'knn__weights': 'distance'}",0.7249699969537168,0.7383598309224768,0.7211283686637182,0.7281527321799706,0.007385940496830594,13,1.0,1.0,1.0,1.0,0.0
0.004485607147216797,0.0007102990861055366,0.12973864873250326,0.007658862795226232,minkowski,11,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 11, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6495752845039139,0.6418033141895021,0.6412741715043505,0.6442175900659222,0.0037946159457383772,82,0.7156822195304249,0.6991840614872702,0.7062260961958622,0.707030792404519,0.006759337082653275
0.0036467711130777993,0.0010056949984254197,0.1269690195719401,0.004315911080455387,minkowski,11,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 11, 'knn__p': 1, 'knn__weights': 'distance'}",0.7027998322791109,0.6792157668700167,0.6889750288245119,0.6903302093245465,0.009675722916863071,46,1.0,1.0,1.0,1.0,0.0
0.0040772755940755205,0.001248419425053752,0.026517709096272785,0.0034435984113821926,minkowski,11,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 11, 'knn__p': 2, 'knn__weights': 'uniform'}",0.6800540987784158,0.7036158842967803,0.6801550103918604,0.6879416644890188,0.0110834236805826,49,0.7339633384041354,0.7504251326680704,0.7381809139832691,0.7408564616851582,0.006981718232920621
0.00574183464050293,0.0011610820470139204,0.0400687058766683,0.003071513050513531,minkowski,11,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 11, 'knn__p': 2, 'knn__weights': 'distance'}",0.7318107370376701,0.7371080962044774,0.7223547352458477,0.7304245228293317,0.006102273197612722,10,1.0,1.0,1.0,1.0,0.0
0.0037177403767903647,0.0007890102893962106,0.12676127751668295,0.008577793319834657,minkowski,15,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 15, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6362998285579614,0.6405072793131859,0.6222942387206568,0.633033782197268,0.007785842109407157,85,0.6900205118822448,0.6758090366820377,0.6813708212798588,0.6824001232813804,0.005847284486510372
0.004731098810831706,0.0005298163798052258,0.12411157290140788,0.00713067011030073,minkowski,15,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 15, 'knn__p': 1, 'knn__weights': 'distance'}",0.6907963573637288,0.6857996744435835,0.669109096032173,0.6819017092798284,0.009272896898279613,58,1.0,1.0,1.0,1.0,0.0
0.0038766860961914062,0.0005573142275044488,0.03265841801961263,0.0033857449862066628,minkowski,15,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 15, 'knn__p': 2, 'knn__weights': 'uniform'}",0.6863446334123232,0.6932745776739112,0.6679962522321135,0.6825384877727826,0.010665004852551023,55,0.7148843396423892,0.7287477769230646,0.716656183980689,0.7200961001820475,0.006160275476149976
0.004306634267171224,0.0015138379664342652,0.031458139419555664,0.002483078120062183,minkowski,15,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 15, 'knn__p': 2, 'knn__weights': 'distance'}",0.7282466202183027,0.7336455687689556,0.7077308543045682,0.7232076810972755,0.011163520563028684,19,1.0,1.0,1.0,1.0,0.0
0.004618644714355469,0.0023373735515346905,0.12818733851114908,0.005700332402838419,minkowski,21,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 21, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6146378698613879,0.6134484217717482,0.6177063897790868,0.6152642271374077,0.0017938441897773307,91,0.6500207010359849,0.6498658066072104,0.6597640455801894,0.6532168510744616,0.004629997479689105
0.0040743350982666016,0.002133795544040625,0.13395063082377115,0.0024469108379414103,minkowski,21,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 21, 'knn__p': 1, 'knn__weights': 'distance'}",0.6832001365582046,0.6684116061886332,0.6756814699491609,0.6757644042319996,0.0060376770474737124,64,1.0,1.0,1.0,1.0,0.0
0.0031263033548990884,0.0005448009506196095,0.03611962000528971,0.003974610573265937,minkowski,21,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 21, 'knn__p': 2, 'knn__weights': 'uniform'}",0.664962051863931,0.672787823752457,0.641216601039027,0.6596554922184716,0.013423988661059058,73,0.6826136693532644,0.6824957603943113,0.7028096044713861,0.6893063447396539,0.00954836785939932
