mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_min_child_samples,param_n_estimators,param_num_leaves,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0.7115996360778809,0.003950936284358862,0.014606380462646484,0.0005445435376825055,0.7,0.03,10,200,15,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 15}",0.9061272640952971,0.9231701504732076,0.9021861618210503,0.8249239744305841,0.9132247929163096,0.8939264687472898,0.03523079447115277,31,1.0,1.0,1.0,1.0,0.998407335243553,0.9996814670487106,0.000637065902578815,0.9102243664264125,0.953088578088578,0.8980253375364302,0.8115148991851544,0.9303515137096294,0.9006409389892409,0.048323094935803106,5,1.0,1.0,1.0,1.0,0.9996801023672425,0.9999360204734484,0.0001279590531030106,0.9655172413793104,0.9700460829493087,0.9654377880184332,0.9400921658986175,0.967741935483871,0.9617670427459082,0.01096886955807785,40,1.0,1.0,1.0,1.0,0.9994242947610823,0.9998848589522165,0.00023028209556708032
1.1625607490539551,0.017284805496153,0.018540000915527342,0.0016170348668167287,0.7,0.03,10,200,31,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 31}",0.8838692453725676,0.9202059202059202,0.9021861618210503,0.8079515283545511,0.9392088749439713,0.8906843461396121,0.045276063724949536,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8761334573355033,0.9329254079254079,0.8980253375364302,0.7701183607922442,0.9665140070183786,0.8887433141215929,0.06680925397841936,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9586206896551724,0.9700460829493087,0.9654377880184332,0.9400921658986175,0.9769585253456221,0.9622310503734308,0.012581107501706676,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.205212879180908,0.02949467360430959,0.028331995010375977,0.0017831982883445912,0.7,0.03,10,200,63,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 63}",0.889171974522293,0.9256212510711226,0.8891443167305236,0.8079515283545511,0.9324819324819325,0.8888742006320847,0.044273288817504516,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.87741222971402,0.9342074592074592,0.8851186581811693,0.7701183607922442,0.9548861000416344,0.8843485615873055,0.06412284854151937,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.960919540229885,0.9723502304147466,0.9608294930875576,0.9400921658986175,0.9746543778801844,0.9617691615021983,0.012243241334492396,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4207163810729981,0.02269136550700773,0.024586057662963866,0.0011849117333165944,0.7,0.03,10,400,15,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 15}",0.8967726625533934,0.9392088749439713,0.9021861618210503,0.8259293128619788,0.9311419134297789,0.8990477851220346,0.04001070552782452,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8887758660776564,0.9569347319347319,0.8980253375364302,0.8024445369654434,0.9445369654434068,0.8981434875915337,0.054506551242601155,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9632183908045977,0.9769585253456221,0.9654377880184332,0.9423963133640553,0.9746543778801844,0.9645330790825785,0.012242677029064055,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.476427984237671,0.050161654888860444,0.034126567840576175,0.002736581131659303,0.7,0.03,10,400,31,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 31}",0.8814067611777535,0.9241258741258742,0.8967465651579135,0.8321647751155947,0.9447579447579448,0.8958403840670162,0.03861795049205417,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8660485933503836,0.9241258741258742,0.8967465651579135,0.794652947124249,0.9677927793968952,0.8898733518310632,0.058183258977771345,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9586206896551724,0.9723502304147466,0.9631336405529954,0.9470046082949308,0.9792626728110599,0.964074368345781,0.01114610939968447,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.578168964385986,0.08078951175790182,0.05060148239135742,0.0035284550162216887,0.7,0.03,10,400,63,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 63}",0.8814067611777535,0.9241258741258742,0.9000844140894789,0.8182579564489112,0.9241258741258742,0.8896001759935783,0.03911728837074481,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8660485933503836,0.9241258741258742,0.8876762029382026,0.7726759055492773,0.9329090584666627,0.8766871268860801,0.05738224931557778,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9586206896551724,0.9723502304147466,0.9654377880184332,0.9447004608294931,0.9723502304147466,0.9626918798665184,0.010338019451582255,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7335480690002442,0.018975655375225057,0.017076396942138673,0.00089411442453912,0.7,0.03,30,200,15,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 15}",0.883409273653176,0.91801597582038,0.8735431235431235,0.8369769363684172,0.9324819324819325,0.8888854483734059,0.033790857033524205,41,0.9936450992953235,0.9889635503983343,0.9859512621217881,0.9874811713068734,0.9905638852672751,0.989320993677919,0.0026499234596065666,0.8950244129272262,0.9518065268065268,0.8812823410456194,0.8334919407601261,0.9548861000416344,0.9032982643162267,0.04569559415817469,2,0.9987204094689699,0.9977621483375959,0.9971209213051824,0.9974408189379398,0.9980806142034548,0.9978249824506286,0.0005503397069079537,0.9563218390804598,0.967741935483871,0.9539170506912442,0.9423963133640553,0.9746543778801844,0.9590063032999628,0.011226505365899043,44,0.9976958525345622,0.9959700633275763,0.9948186528497409,0.9953943580886586,0.9965457685664939,0.9960849390734066,0.000990049022498621
1.339864683151245,0.13096989251899394,0.027811527252197266,0.005800677782227919,0.7,0.03,30,200,31,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 31}",0.8936108993080032,0.9217204301075269,0.8735431235431235,0.8518587475951096,0.9270506499327655,0.8935567700973058,0.02847562392842127,33,0.9983990778097982,1.0,1.0,1.0,1.0,0.9996798155619597,0.0006403688760807213,0.8975819576842595,0.943006993006993,0.8812823410456194,0.837328257895676,0.9536073276631178,0.9025613754591332,0.04236623360468874,4,0.9996801023672425,1.0,1.0,1.0,1.0,0.9999360204734484,0.0001279590531030106,0.960919540229885,0.9700460829493087,0.9539170506912442,0.9493087557603687,0.9723502304147466,0.9613083320091107,0.008911159751795775,41,0.9994239631336406,1.0,1.0,1.0,1.0,0.9998847926267281,0.00023041474654377227
2.1763937950134276,0.04740294766234753,0.03346958160400391,0.0014499465560404046,0.7,0.03,30,200,63,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 63}",0.8936108993080032,0.9284182747814613,0.8760354184518708,0.8550170068027212,0.9270506499327655,0.8960264498553645,0.02863208673148306,27,0.9983990778097982,1.0,1.0,1.0,1.0,0.9996798155619597,0.0006403688760807213,0.8975819576842595,0.9543706293706293,0.891631475643847,0.8476773924939035,0.9536073276631178,0.9089737565711516,0.04059754615029106,1,0.9996801023672425,1.0,1.0,1.0,1.0,0.9999360204734484,0.0001279590531030106,0.960919540229885,0.9723502304147466,0.9539170506912442,0.9493087557603687,0.9723502304147466,0.9617691615021983,0.009397417202711396,38,0.9994239631336406,1.0,1.0,1.0,1.0,0.9998847926267281,0.00023041474654377227
1.4319100856781006,0.08982221693362961,0.029414939880371093,0.0015474321882453918,0.7,0.03,30,400,15,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'min_child_samples': 30, 'n_estimators': 400, 'num_leaves': 15}",0.8967726625533934,0.9256212510711226,0.8945578231292517,0.8450503083414476,0.9447579447579448,0.901351997970632,0.033793739782091416,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8887758660776564,0.9342074592074592,0.886397430559686,0.8166299886992209,0.9677927793968952,0.8987607047881834,0.051029210855456586,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9632183908045977,0.9723502304147466,0.9631336405529954,0.9493087557603687,0.9792626728110599,0.9654547380687537,0.010092456232331886,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
