mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_acc,split1_test_acc,split2_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,mean_train_acc,std_train_acc,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_prec_macro,split1_test_prec_macro,split2_test_prec_macro,mean_test_prec_macro,std_test_prec_macro,rank_test_prec_macro,split0_train_prec_macro,split1_train_prec_macro,split2_train_prec_macro,mean_train_prec_macro,std_train_prec_macro,split0_test_rec_macro,split1_test_rec_macro,split2_test_rec_macro,mean_test_rec_macro,std_test_rec_macro,rank_test_rec_macro,split0_train_rec_macro,split1_train_rec_macro,split2_train_rec_macro,mean_train_rec_macro,std_train_rec_macro
19.96530803044637,0.3865919946184197,0.06373063723246257,0.005066687150386928,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8090747744000023,0.8151980845866204,0.7830016744923654,0.8024248444929961,0.0139599040485106,31,1.0,1.0,1.0,1.0,0.0,0.814621409921671,0.8263707571801566,0.792156862745098,0.8110496766156419,0.014194261803287086,30,1.0,1.0,1.0,1.0,0.0,0.8026077870558129,0.8158662092624356,0.7804760643600289,0.7996500202260926,0.014598558776298913,83,1.0,1.0,1.0,1.0,0.0,0.8286311559522677,0.8203340526433185,0.7981152371682847,0.8156934819212903,0.012882973188858492,12,1.0,1.0,1.0,1.0,0.0,0.8026077870558129,0.8158662092624356,0.7804760643600289,0.7996500202260926,0.014598558776298913,83,1.0,1.0,1.0,1.0,0.0
41.31075954437256,0.16893162546902749,0.09830514589945476,0.004660832199682694,,1,2,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.8042475097907924,0.8197261457055058,0.7941863675051802,0.8060533410004928,0.010504470077032374,4,1.0,1.0,1.0,1.0,0.0,0.8093994778067886,0.8302872062663186,0.803921568627451,0.8145360842335195,0.011360025123603875,4,1.0,1.0,1.0,1.0,0.0,0.7980622385940678,0.8204974271012007,0.7931925145764791,0.8039173934239159,0.011891220586544623,10,1.0,1.0,1.0,1.0,0.0,0.8230210345948159,0.8252130949194066,0.8045067789328202,0.8175803028156808,0.009287592158482502,4,1.0,1.0,1.0,1.0,0.0,0.7980622385940678,0.8204974271012007,0.7931925145764791,0.8039173934239159,0.011891220586544623,10,1.0,1.0,1.0,1.0,0.0
86.02321894963582,0.23303001951832775,0.2060109774271647,0.06998048127748506,,1,2,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.8056223546903765,0.8189475715867035,0.7957019055614454,0.8067572772795085,0.00952387470874999,1,1.0,1.0,1.0,1.0,0.0,0.8107049608355091,0.8276762402088773,0.8052287581699347,0.8145366530714403,0.009556281058910415,1,1.0,1.0,1.0,1.0,0.0,0.7992244526894003,0.8206689536878216,0.7943340670878947,0.8047424911550388,0.01143731100212376,7,1.0,1.0,1.0,1.0,0.0,0.8266911550852282,0.8229390919447926,0.8062096116255213,0.8186132862185141,0.00890347692417945,1,1.0,1.0,1.0,1.0,0.0,0.7992244526894003,0.8206689536878216,0.7943340670878947,0.8047424911550388,0.01143731100212376,7,1.0,1.0,1.0,1.0,0.0
20.80691870053609,0.2590269616952605,0.05215533574422201,0.012042614418343398,,1,6,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.8038000337838855,0.8145524221766007,0.7887617577895356,0.8023714045833407,0.010577344607731012,34,1.0,1.0,1.0,1.0,0.0,0.8093994778067886,0.8224543080939948,0.7986928104575164,0.8101821987860999,0.009716367002149263,37,1.0,1.0,1.0,1.0,0.0,0.7980519078021093,0.816123499142367,0.7898657044003539,0.8013470371149434,0.010970000123659904,50,1.0,1.0,1.0,1.0,0.0,0.8206653556211079,0.8194160791689524,0.7955103359173127,0.8118639235691244,0.011574974290182886,39,1.0,1.0,1.0,1.0,0.0,0.7980519078021093,0.816123499142367,0.7898657044003539,0.8013470371149434,0.010970000123659904,50,1.0,1.0,1.0,1.0,0.0
43.38525493939718,0.36524036953090466,0.07347758611043294,0.0016937770046043805,,1,6,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 400}",0.8074379479695584,0.818265428834046,0.7836764777259936,0.8031266181765327,0.014446211917015546,18,1.0,1.0,1.0,1.0,0.0,0.814621409921671,0.8263707571801566,0.7947712418300653,0.811921136310631,0.013040985411924038,18,1.0,1.0,1.0,1.0,0.0,0.8001393181086977,0.8195325900514581,0.7839674360020855,0.8012131147207472,0.014539253190631601,58,1.0,1.0,1.0,1.0,0.0,0.8296286142185193,0.8231272318161016,0.7926817407158518,0.8151458622501576,0.0161047521044082,16,1.0,1.0,1.0,1.0,0.0,0.8001393181086977,0.8195325900514581,0.7839674360020855,0.8012131147207472,0.014539253190631601,58,1.0,1.0,1.0,1.0,0.0
88.21700104077657,0.4861864116088137,0.2582910855611165,0.06134078319262079,,1,6,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 800}",0.8028252259189644,0.8230553977545468,0.7893053827328324,0.8050620021354479,0.013868868119483959,8,1.0,1.0,1.0,1.0,0.0,0.8093994778067886,0.8315926892950392,0.7986928104575164,0.8132283258531148,0.01370147351935334,8,1.0,1.0,1.0,1.0,0.0,0.795583438854994,0.8240780445969125,0.7898760821504577,0.8031791885341214,0.014960283390545524,22,1.0,1.0,1.0,1.0,0.0,0.8250276765808902,0.8279723558680379,0.7983255896773339,0.8171085407087539,0.01333584695754472,8,1.0,1.0,1.0,1.0,0.0,0.795583438854994,0.8240780445969125,0.7898760821504577,0.8031791885341214,0.014960283390545524,22,1.0,1.0,1.0,1.0,0.0
21.984211921691895,0.29423797515690875,0.05391915639241537,0.0024738900403036197,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8019270583843113,0.8148566585438547,0.788478950229593,0.8017542223859196,0.010769347804140612,40,1.0,1.0,1.0,1.0,0.0,0.8080939947780679,0.825065274151436,0.7986928104575164,0.8106173597956735,0.010913363019125811,33,1.0,1.0,1.0,1.0,0.0,0.7981807475361061,0.8183962264150944,0.7873817627443735,0.8013195788985247,0.012854660268735016,53,1.0,1.0,1.0,1.0,0.0,0.8176353246492645,0.8184663560564601,0.7994482986226505,0.8118499931094584,0.008775882592196499,42,1.0,1.0,1.0,1.0,0.0,0.7981807475361061,0.8183962264150944,0.7873817627443735,0.8013195788985247,0.012854660268735016,53,1.0,1.0,1.0,1.0,0.0
44.24857807159424,0.4867546142232846,0.08653863271077473,0.0051026231574628255,,1,10,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",0.8044616878345289,0.8085952122143794,0.7892354661944853,0.8007641220811311,0.00832481975237206,56,1.0,1.0,1.0,1.0,0.0,0.8093994778067886,0.8185378590078329,0.7986928104575164,0.8088767157573793,0.008110135556258483,49,1.0,1.0,1.0,1.0,0.0,0.8005823615009755,0.8102701543739279,0.7886367292390661,0.7998297483713231,0.00884782800686553,76,1.0,1.0,1.0,1.0,0.0,0.8210155752051702,0.8141260254248048,0.7996131632547216,0.8115849212948989,0.008920340687568857,45,1.0,1.0,1.0,1.0,0.0,0.8005823615009755,0.8102701543739279,0.7886367292390661,0.7998297483713231,0.00884782800686553,76,1.0,1.0,1.0,1.0,0.0
95.39450271924336,1.6599549706998649,0.1848155657450358,0.029683611134313344,,1,10,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.8057722098497043,0.8128631670509353,0.7925107712225004,0.8037153827077134,0.008435160832623852,13,1.0,1.0,1.0,1.0,0.0,0.8120104438642297,0.8224543080939948,0.8013071895424837,0.8119239805002362,0.008633491479615913,12,1.0,1.0,1.0,1.0,0.0,0.8003453436168988,0.814901372212693,0.7933985870428256,0.8028817676241391,0.008959818732308738,27,1.0,1.0,1.0,1.0,0.0,0.8249220248758439,0.8167518891556229,0.8013249641037745,0.8143329593784138,0.009784127800353844,21,1.0,1.0,1.0,1.0,0.0,0.8003453436168988,0.814901372212693,0.7933985870428256,0.8028817676241391,0.008959818732308738,27,1.0,1.0,1.0,1.0,0.0
22.785529375076294,0.5828129800868375,0.04522482554117838,0.007126917472308655,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7964161968803236,0.8194451137684835,0.7740322949107564,0.7966312018531879,0.01854032900651892,94,1.0,0.9994318115783887,1.0,0.999810603859463,0.0002678465906087,0.8028720626631853,0.8263707571801566,0.7856209150326797,0.8049545782920072,0.016701099011128713,89,1.0,0.999346832135859,1.0,0.9997822773786197,0.0003079062839915117,0.7911460685433288,0.8231989708404803,0.7747683018029513,0.7963711137289202,0.020113979363438943,92,1.0,0.9994343891402715,1.0,0.9998114630467572,0.00026663151628451923,0.8143605613715261,0.8229531501239515,0.7853041539070951,0.8075392884675242,0.01610919100094458,81,1.0,0.9994305239179955,1.0,0.9998101746393319,0.00026845359953929856,0.7911460685433288,0.8231989708404803,0.7747683018029513,0.7963711137289202,0.020113979363438943,92,1.0,0.9994343891402715,1.0,0.9998114630467572,0.00026663151628451923
