mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.5594890117645264,0.0069446889845689915,9.712767918904623,0.17366649296421452,minkowski,3,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'uniform'}",0.8554470608675842,0.8337464366277485,0.8539914991163662,0.8477283322038996,0.009904534918567949,7,0.9286938113526461,0.9311433834075117,0.9384807110560704,0.9327726352720761,0.004158260668425521
0.673730214436849,0.07297761295559686,9.913058678309122,0.07351440721310216,minkowski,3,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'distance'}",0.8663923500593715,0.8466571172461039,0.8590958592907569,0.8573817755320775,0.008147531973847263,1,1.0,1.0,1.0,1.0,0.0
0.6333136558532715,0.1002578606537379,1.5253389676411946,0.039763687085460075,minkowski,3,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'uniform'}",0.8340214747392711,0.8441545956336026,0.8349852145853629,0.8377204283194123,0.004566623872766647,10,0.925928849748636,0.9242199026388127,0.9192867370150464,0.9231451631341651,0.0028161101000690153
0.3181623617808024,0.23917547005412865,1.4924087524414062,0.024406780681079633,minkowski,3,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'distance'}",0.8426944523584778,0.8560091234011744,0.8468989694722758,0.8485341817439761,0.00555731083792301,4,1.0,1.0,1.0,1.0,0.0
0.1918910344441732,0.02207285432518795,9.33583664894104,0.1238436639276569,minkowski,5,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'uniform'}",0.84246022159675,0.8047103149951469,0.8217377154972365,0.8229694173630445,0.015435925179530952,16,0.8692137827181747,0.8825718141433552,0.8843730970693802,0.8787195646436367,0.006761709475949935
0.19629557927449545,0.045284997085503716,9.571784655253092,0.11509042635802419,minkowski,5,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'distance'}",0.847286756234346,0.82303075198737,0.8328670449954818,0.8343948510723993,0.009961227470006878,13,1.0,1.0,1.0,1.0,0.0
0.2421290079752604,0.020826305063118708,1.5184265772501628,0.018474134385721364,minkowski,5,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'uniform'}",0.8017021958083259,0.8004713207594977,0.8065651445631179,0.8029128870436472,0.002630969667613683,28,0.8597282758933897,0.8706262435817087,0.8713203167803062,0.8672249454184682,0.005308513594684993
0.23239938418070474,0.052371026107291364,1.5457829634348552,0.035319538231029506,minkowski,5,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'distance'}",0.8176032516267611,0.8212262576932268,0.8217477540716496,0.8201924211305457,0.0018431564696960677,19,1.0,1.0,1.0,1.0,0.0
0.19814721743265787,0.003328520004438285,9.450866858164469,0.06105949270152033,minkowski,7,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'uniform'}",0.8112298755291363,0.7915250249873536,0.8036527590885139,0.8021358865350012,0.008115662243514026,34,0.8465263306697794,0.8572319185716962,0.8520953500044438,0.8519511997486399,0.004371726398392516
0.1772460142771403,0.04584473172623476,9.66198992729187,0.1126813764272352,minkowski,7,1,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'distance'}",0.825238914892275,0.805799603376524,0.8113066086109181,0.8141150422932389,0.008180757212817488,22,1.0,1.0,1.0,1.0,0.0
