mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0.012549495697021485,0.002383717498565578,0.0027720451354980467,0.0003889836754822857,0.01,l1,"{'classifier__C': 0.01, 'classifier__penalty': 'l1'}",0.6994998572336486,0.7285803627267042,0.7010765471237039,0.7114214106695309,0.7307577118897873,0.714267177928675,0.013243638942686087,10,0.7216631550752712,0.7250830606849468,0.7335248298195333,0.7188332618359903,0.7095542975679265,0.7217317209967337,0.00783587010572189,0.8435828877005347,0.8323426573426573,0.8445548087789211,0.8237375840123713,0.8326889906619876,0.8353813856992943,0.00779072916819618,10,0.8438881060950669,0.8455327971852225,0.849488163787588,0.8469179517726741,0.8402056169611931,0.8452065271603489,0.0031021017219271933,0.8275862068965517,0.8617511520737328,0.8317972350230415,0.8502304147465438,0.8663594470046083,0.8475448911488958,0.015552203374755135,10,0.853110599078341,0.8560736902705814,0.8624064478986759,0.8485895221646517,0.8411053540587219,0.8522571226941944,0.0071570475680012005
0.007400703430175781,0.0010043582860496116,0.002724361419677734,0.0008425719790625608,0.01,l2,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.7865463389656938,0.787610820899769,0.7777322544299907,0.7884990253411306,0.8212319790301441,0.7923240837333456,0.01495871749683955,9,0.8077519379844962,0.8154911715930153,0.8168826833310883,0.802280522025745,0.8100601421541826,0.8104932914177055,0.00530952640609949,0.9008370146477563,0.8743006993006993,0.870011300779159,0.855706893475287,0.8853565693213585,0.8772424955048521,0.015147712859227693,5,0.9019005247800473,0.9093069497213311,0.9028614291702517,0.8999768349990072,0.9050896816467007,0.9038270840634677,0.003196611274118912,0.8942528735632184,0.9009216589861752,0.8963133640552995,0.9078341013824884,0.923963133640553,0.904657026325547,0.010720407170605394,9,0.9112903225806451,0.9153713298791019,0.917098445595855,0.9073114565342545,0.9119170984455959,0.9125977306070905,0.003407830916926597
0.08618750572204589,0.027520807627610683,0.0025092124938964843,0.0007659956931461796,0.1,l1,"{'classifier__C': 0.1, 'classifier__penalty': 'l1'}",0.8074369189907038,0.8280592284455008,0.814287152637938,0.8000307172477346,0.8222495264424308,0.8144127087528616,0.0100315731370359,1,0.8295076815220412,0.834115025466893,0.8427798675756777,0.8308488643854497,0.8370982659223978,0.8348699409744919,0.004754474770225611,0.8997035573122529,0.8884032634032635,0.8737286623446143,0.8504728483911259,0.8762862071016475,0.8777189077105808,0.016479094102715554,3,0.9070077921885806,0.9108795440769925,0.9137324332075805,0.9098936616144903,0.9095792794581596,0.9102185421091606,0.002172900061131125,0.9103448275862069,0.9262672811059908,0.9216589861751152,0.9170506912442397,0.9262672811059908,0.9203178134435086,0.006045256150151821,1,0.9251152073732719,0.927461139896373,0.9320667818077144,0.9251583189407023,0.9291882556131261,0.9277979407262376,0.002624274218765727
0.011704063415527344,0.0011420303157451445,0.0033223628997802734,0.0010659039440336286,0.1,l2,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.8101690742875046,0.8268847227762266,0.8022067642120412,0.814287152637938,0.8182371977917381,0.8143569823410898,0.008211840268658408,2,0.8366739841404955,0.8386558398753521,0.852241251686386,0.8354133954193513,0.8395314651359242,0.840503187251502,0.006044962700224514,0.9097884212973727,0.8972027972027972,0.8789627074287754,0.8737286623446143,0.8750074347231309,0.8869380045993381,0.014198155484415047,1,0.9211387616078461,0.9218008515293526,0.9379950140093101,0.9137269177311536,0.9268151432920776,0.9242953376339479,0.008023820607675095,0.9103448275862069,0.923963133640553,0.9124423963133641,0.9216589861751152,0.923963133640553,0.9184744954711584,0.005879948964433839,4,0.9274193548387096,0.9286125503742084,0.9343696027633851,0.927461139896373,0.9280368451352907,0.9291798986015933,0.002631164394433054
0.5457233428955078,0.06824916350366371,0.002708292007446289,0.0009566893196917202,1.0,l1,"{'classifier__C': 1.0, 'classifier__penalty': 'l1'}",0.8257868450810404,0.8154761904761905,0.8111401218450827,0.8096491228070175,0.8078645833333333,0.8139833727085328,0.006416538724816262,3,0.8552775956505771,0.8558509457195341,0.8657211667112656,0.860071437598526,0.8610455062341456,0.8595933303828097,0.0038083799318919327,0.9060974192048361,0.8933566433566433,0.8633795277463867,0.8815202521858085,0.8530303931481592,0.8794768471283667,0.019308121217034378,2,0.9413588807650916,0.94395022396996,0.956515983850685,0.9523628301012641,0.9478952941955125,0.9484166425765027,0.005499171322046653,0.9218390804597701,0.9170506912442397,0.9216589861751152,0.9170506912442397,0.9216589861751152,0.919851687059696,0.0022879487681439154,2,0.9360599078341014,0.9360967184801382,0.9401266551525619,0.9372481289579735,0.9383995394358089,0.9375861899721167,0.0015347865273494837
0.02540926933288574,0.0024843566401493637,0.0023781299591064454,0.0004705502090459762,1.0,l2,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",0.8246472790095019,0.8230271048213,0.7958203337790324,0.7954092178264496,0.8039165063833633,0.8085640883639293,0.012844467948747617,5,0.853807475815052,0.852241251686386,0.8626102866557623,0.8472339548093999,0.8508005994870003,0.85333871369072,0.005120475187645179,0.9149035108114392,0.8959207459207459,0.8582644382323201,0.8673348004520312,0.8517516207696425,0.8776350232372359,0.023977374736545758,4,0.9432893612772237,0.940420664370297,0.9507688574139035,0.9363955258455225,0.9399088843294283,0.9421566586472749,0.004831351767712831,0.9195402298850575,0.9216589861751152,0.9124423963133641,0.9101382488479263,0.9193548387096774,0.916626939986228,0.004491407279806487,7,0.9349078341013825,0.9343696027633851,0.9389752446747266,0.9314910765687968,0.9332181922855498,0.9345923900787682,0.002484557046663635
1.4152702331542968,0.1530426841783813,0.0025656700134277345,0.00020686240145688367,10.0,l1,"{'classifier__C': 10.0, 'classifier__penalty': 'l1'}",0.8097112860892388,0.8117798745824298,0.8212319790301441,0.8022067642120412,0.7931504051201743,0.8076160618068057,0.00944072271916891,7,0.857885206539756,0.8610455062341456,0.8657211667112656,0.862076766345059,0.8585178098583623,0.8610492911377177,0.0028036394137868487,0.8732852824924436,0.892074592074592,0.8853565693213585,0.8789627074287754,0.8207042169749599,0.870076673658426,0.025472651498784596,8,0.9445689518082537,0.9503699569800275,0.956515983850685,0.9482151918282702,0.9494892668828734,0.9498318702700221,0.003883200964843839,0.9172413793103448,0.9147465437788018,0.923963133640553,0.9124423963133641,0.9193548387096774,0.9175496583505481,0.003960503862134614,5,0.9372119815668203,0.9383995394358089,0.9401266551525619,0.9389752446747266,0.9366724237190558,0.9382771689097946,0.0012355334786431221
0.03713803291320801,0.00399797513595519,0.002115154266357422,0.00031582820975958783,10.0,l2,"{'classifier__C': 10.0, 'classifier__penalty': 'l2'}",0.8022727272727272,0.8154761904761905,0.8103975535168195,0.8081343943412909,0.7929499072356215,0.80584615456853,0.007717142516980006,8,0.8542576157351883,0.8651935058760414,0.8657211667112656,0.8652025453981065,0.8564937210839392,0.8613737109609083,0.00495185400235714,0.8707277377354103,0.8933566433566433,0.8724498899660977,0.8996609766252305,0.8297745791946708,0.8731939653756104,0.024490468722228424,6,0.941038983132334,0.951648729358544,0.956515983850685,0.9539623182650517,0.9488494716173583,0.9504030972447947,0.005323296384604727,0.9126436781609195,0.9170506912442397,0.9193548387096774,0.9124423963133641,0.9170506912442397,0.915708459134488,0.002718797780149537,8,0.9354838709677419,0.9407023603914796,0.9401266551525619,0.9401266551525619,0.9355210132412205,0.9383921109811132,0.0023687803406353416
2.743002939224243,1.133446058371973,0.0023903846740722656,0.0004987891724762291,100.0,l1,"{'classifier__C': 100.0, 'classifier__penalty': 'l1'}",0.8135128183143274,0.8117798745824298,0.8292531251982994,0.8022067642120412,0.7968898337946435,0.8107284832203483,0.011100884819753732,4,0.8568601583113457,0.8631118349701471,0.8641688258201743,0.8672814166716606,0.8585178098583623,0.8619880091263379,0.00380463523509108,0.8745640548709603,0.892074592074592,0.8879141140783917,0.8789627074287754,0.8310533515731874,0.8729137640051814,0.021834629101885515,7,0.9442490541754962,0.9510093431692859,0.9536424206322942,0.9546021135305668,0.9494892668828734,0.9505984396781033,0.0036608476230468303,0.9195402298850575,0.9147465437788018,0.9285714285714286,0.9124423963133641,0.9193548387096774,0.9189310874516657,0.005533539825041384,3,0.9366359447004609,0.9395509499136442,0.9395509499136442,0.9412780656303973,0.9366724237190558,0.9387376667754405,0.0018143290677515268
0.08429512977600098,0.010455223036077418,0.0028229236602783205,0.0003378032828183253,100.0,l2,"{'classifier__C': 100.0, 'classifier__penalty': 'l2'}",0.8097112860892388,0.8117798745824298,0.8252114377768828,0.8022067642120412,0.7891839378238341,0.8076186600968853,0.011834933192792586,6,0.857885206539756,0.86415073907629,0.8621126859830626,0.8693757106502789,0.8585178098583623,0.8624084304215499,0.0041776208697880835,0.8732852824924436,0.892074592074592,0.8866353416998751,0.8789627074287754,0.8194254445964433,0.8700766736584258,0.0261262384367064,9,0.9445689518082537,0.951329036263915,0.9530026253667792,0.9552419087960817,0.9494892668828734,0.9507263578235807,0.003616043657067273,0.9172413793103448,0.9147465437788018,0.9262672811059908,0.9124423963133641,0.9170506912442397,0.9175496583505481,0.004696435402830864,5,0.9372119815668203,0.9401266551525619,0.9383995394358089,0.9424294761082326,0.9366724237190558,0.9389680151964959,0.002097651888260278
